2026-03-19 23:53:01,672 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 2) episode=400 avg_reward=86.93 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:53:01,684 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 2) episode=500 avg_reward=89.26 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:53:01,696 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 2) episode=600 avg_reward=90.36 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:53:01,698 | INFO | car_parking_agent | Training stopped early | agent=DoubleQTableAgent goal=(2, 2) episode=618 recent_successes=50
2026-03-19 23:53:01,698 | INFO | car_parking_agent | Training finished | agent=DoubleQTableAgent goal=(2, 2) episodes_run=618 successes=588 final_epsilon=0.0500
2026-03-19 23:53:01,698 | INFO | car_parking_agent | Testing started | agent=DoubleQTableAgent goal=(2, 2) max_steps=50 display=False
2026-03-19 23:53:01,698 | INFO | car_parking_agent | Testing finished | agent=DoubleQTableAgent goal=(2, 2) success=True steps=9 final_reward=100 path=[(6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (1, 2), (2, 2)]
2026-03-19 23:53:01,699 | INFO | car_parking_agent | Training started | agent=DeepQNetwork goal=(2, 2) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:11,561 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(2, 2) episode=100 avg_reward=-85.88 successes_last_100=72 epsilon=0.6058 avg_loss=17.9052
2026-03-19 23:53:15,284 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(2, 2) episode=200 avg_reward=60.54 successes_last_100=100 epsilon=0.3670 avg_loss=6.2049
2026-03-19 23:53:17,339 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(2, 2) episode=300 avg_reward=79.29 successes_last_100=100 epsilon=0.2223 avg_loss=2.2020
2026-03-19 23:53:19,256 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(2, 2) episode=400 avg_reward=86.05 successes_last_100=100 epsilon=0.1347 avg_loss=0.8745
2026-03-19 23:53:21,055 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(2, 2) episode=500 avg_reward=89.15 successes_last_100=100 epsilon=0.0816 avg_loss=0.3580
2026-03-19 23:53:23,008 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(2, 2) episode=600 avg_reward=90.50 successes_last_100=100 epsilon=0.0500 avg_loss=0.2015
2026-03-19 23:53:23,122 | INFO | car_parking_agent | Training stopped early | agent=DeepQNetwork goal=(2, 2) episode=607 recent_successes=50
2026-03-19 23:53:23,122 | INFO | car_parking_agent | Training finished | agent=DeepQNetwork goal=(2, 2) episodes_run=607 successes=579 final_epsilon=0.0500
2026-03-19 23:53:23,122 | INFO | car_parking_agent | Testing started | agent=DeepQNetwork goal=(2, 2) max_steps=50 display=False
2026-03-19 23:53:23,125 | INFO | car_parking_agent | Testing finished | agent=DeepQNetwork goal=(2, 2) success=True steps=9 final_reward=100 path=[(6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (1, 2), (2, 2)]
2026-03-19 23:53:23,125 | INFO | car_parking_agent | Goal processing started | goal_index=3 target=(4, 2)
2026-03-19 23:53:23,125 | INFO | car_parking_agent | Training started | agent=QTableAgent goal=(4, 2) episodes=2000 max_steps=100 cutoff=50
